"arrival_date_year","AUT","BEL","BRA","CHE","CHN","CN","DEU","ESP","FRA","GBR","IRL","ISR","ITA","NLD","NOR","POL","ROU","RUS","SWE","USA"
2015,7973.29,20594.84,14487.96,14013.98,4510.98,11057.38,43550.48,176120.19,115759.46,103069.6,38417.02,11140.49,53297.33,18040.42,4633.44,8704,5919.09,9179.1,10895.59,19288.4
2016,68537.46,121097.67,112979.1,95994.18,56389.43,53253.76,388670.82,467395.33,549685.13,510874.09,136233.8,30178.98,211893.85,115039.35,29687.99,52142.67,25599.75,28737.75,53688.01,110491.83
2017,57669.84,124939,119408.81,100757.97,49527.99,74701.38,328517.86,358901.61,476219.34,550714.23,156747.76,32736.03,163937.77,94332.08,39509.81,37577.44,25997.52,37101.85,51022.93,128134.52
